question,category,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
What are binary trees and how would you implement one in Python?,data_structures,Sample answer 2 for: What are binary trees and how would you implement one in Python?,Sample answer 3 for: Explain the concept of multiple inheritance and the method resolution order in Python.,Sample answer 3 for: Explain the asyncio module in Python and how it works.,Sample answer 1 for: What are the advantages and disadvantages of using arrays vs linked lists?
What are the advantages and disadvantages of using arrays vs linked lists?,data_structures,Sample answer 1 for: What are the advantages and disadvantages of using arrays vs linked lists?,Sample answer 3 for: Explain the concept of closures in Python with an example.,Sample answer 3 for: Explain the concept of dynamic programming with an example.,Sample answer 3 for: What are metaclasses in Python and how would you use them?
What are Python type hints and how do they improve code quality?,advanced_python,Sample answer 1 for: What are Python type hints and how do they improve code quality?,Sample answer 2 for: Explain the concept of coroutines in Python.,"Python manages memory through automatic garbage collection. It uses reference counting to track how many references point to an object, and when the count reaches zero, the memory is freed. Python also has a cycle detector to handle circular references. All Python objects are stored in a private heap, and the memory manager allocates heap space for objects.",Sample answer 3 for: Explain the concept of metaprogramming in Python.
What are metaclasses in Python and how would you use them?,oop_concepts,Sample answer 3 for: What are metaclasses in Python and how would you use them?,Sample answer 2 for: Explain the concept of binary search and its time complexity.,Sample answer 3 for: Explain the concept of metaprogramming in Python.,Sample answer 3 for: What are Python context managers and how do they work?
Explain the concept of inheritance in Python with an example.,oop_concepts,Sample answer 1 for: Explain the concept of inheritance in Python with an example.,Sample answer 2 for: What is polymorphism and how is it implemented in Python?,Sample answer 2 for: What is the difference between multiprocessing and multithreading in Python?,Sample answer 2 for: What are Python descriptors and how do they work?
Explain the concept of binary search and its time complexity.,algorithms,Sample answer 2 for: Explain the concept of binary search and its time complexity.,Sample answer 1 for: Explain the concept of inheritance in Python with an example.,Sample answer 3 for: How does exception handling work in Python?,Sample answer 2 for: Explain the asyncio module in Python and how it works.
What is the traveling salesman problem and how would you approach it?,algorithms,Sample answer 3 for: What is the traveling salesman problem and how would you approach it?,Sample answer 3 for: What is the difference between a stack and a queue?,Sample answer 1 for: What are Python type hints and how do they improve code quality?,Sample answer 1 for: What is polymorphism and how is it implemented in Python?
What is method overriding and how does it work in Python?,oop_concepts,Sample answer 2 for: What is method overriding and how does it work in Python?,Sample answer 2 for: What are Python decorators and how do they work?,Sample answer 2 for: What is a heap data structure and when would you use it?,Sample answer 3 for: Explain the concept of multiple inheritance and the method resolution order in Python.
Explain how Python handles memory management.,python_basics,"Python uses automatic memory management with a private heap to store objects and data structures. It has a built-in garbage collector that reclaims memory from objects that are no longer referenced. Python uses reference counting as its primary memory management technique, along with cycle-detecting garbage collection to handle circular references.",Sample answer 3 for: Explain the concept of coroutines in Python.,Sample answer 3 for: How would you implement a linked list in Python?,Sample answer 3 for: Explain the concept of metaprogramming in Python.
How would you find the longest common subsequence of two strings?,algorithms,Sample answer 1 for: How would you find the longest common subsequence of two strings?,Sample answer 1 for: What is a heap data structure and when would you use it?,Sample answer 1 for: What are binary trees and how would you implement one in Python?,Sample answer 3 for: How would you implement a graph data structure in Python?
Explain the concept of composition vs inheritance with examples.,oop_concepts,Sample answer 2 for: Explain the concept of composition vs inheritance with examples.,Sample answer 1 for: What is the __init__ method in Python and how is it used?,Sample answer 2 for: What are Python's data model and how does it relate to special methods?,"Lists are mutable, meaning they can be modified after creation, while tuples are immutable. Lists use square brackets [] and tuples use parentheses (). Lists generally consume more memory than tuples and are slower for iteration."
Explain the concept of coroutines in Python.,advanced_python,Sample answer 1 for: Explain the concept of coroutines in Python.,Sample answer 1 for: Explain the concept of encapsulation in Python.,"Sample answer 2 for: Explain the difference between class methods, static methods, and instance methods.","Lists are mutable collections that can be modified after creation, while tuples are immutable. Lists are defined using square brackets [], while tuples use parentheses (). Tuples are more memory-efficient and can be used as dictionary keys (since they're immutable), which lists cannot."
Explain the concept of composition vs inheritance with examples.,oop_concepts,Sample answer 2 for: Explain the concept of composition vs inheritance with examples.,Sample answer 2 for: How does exception handling work in Python?,Sample answer 2 for: What are binary trees and how would you implement one in Python?,Sample answer 1 for: Explain the concept of multiple inheritance and the method resolution order in Python.
What are binary trees and how would you implement one in Python?,data_structures,Sample answer 3 for: What are binary trees and how would you implement one in Python?,Sample answer 3 for: What is the traveling salesman problem and how would you approach it?,Sample answer 2 for: What are Python descriptors and how do they work?,Sample answer 2 for: Explain the quicksort algorithm and its time complexity.
Explain the concept of composition vs inheritance with examples.,oop_concepts,Sample answer 3 for: Explain the concept of composition vs inheritance with examples.,Sample answer 2 for: What are Python context managers and how do they work?,Sample answer 3 for: How would you implement a graph data structure in Python?,Sample answer 2 for: What are the advantages and disadvantages of using arrays vs linked lists?
What are Python descriptors and how do they work?,advanced_python,Sample answer 1 for: What are Python descriptors and how do they work?,Sample answer 3 for: Explain the difference between '==' and 'is' operators in Python.,Sample answer 1 for: Explain the concept of encapsulation in Python.,Sample answer 2 for: What is a heap data structure and when would you use it?
Explain the concept of monkey patching in Python and when it might be useful.,advanced_python,Sample answer 3 for: Explain the concept of monkey patching in Python and when it might be useful.,Sample answer 3 for: Explain the quicksort algorithm and its time complexity.,"Python manages memory through automatic garbage collection. It uses reference counting to track how many references point to an object, and when the count reaches zero, the memory is freed. Python also has a cycle detector to handle circular references. All Python objects are stored in a private heap, and the memory manager allocates heap space for objects.",Sample answer 2 for: What is polymorphism and how is it implemented in Python?
